opdrachtomschrijving,onderwerp
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op integratie met bestaande systemen. Doelgroep: overheidsinstanties. Technologieën: TensorFlow.,Event Processing
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op veiligheid. Doelgroep: consumentenmarkt. Technologieën: Python.,Machine Learning
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op schaalbaarheid. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.",Machine Learning
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op gebruiksvriendelijkheid. Doelgroep: onderwijsinstellingen. Technologieën: React.,Data Science
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op gebruiksvriendelijkheid. Doelgroep: zorgsector. Technologieën: Kubernetes.,Computer Vision
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op schaalbaarheid. Doelgroep: overheidsinstanties. Technologieën: TensorFlow.,Data Science
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op veiligheid. Doelgroep: overheidsinstanties. Technologieën: TensorFlow.,Workflow Automation
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op gebruiksvriendelijkheid. Doelgroep: onderwijsinstellingen. Technologieën: TensorFlow.",App Development
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op veiligheid. Doelgroep: consumentenmarkt. Technologieën: Kubernetes.,Machine Learning
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op real-time verwerking. Doelgroep: bedrijven. Technologieën: SQL.,Machine Learning
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op schaalbaarheid. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.,Blockchain
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op gebruiksvriendelijkheid. Doelgroep: overheidsinstanties. Technologieën: React.",AR/VR Development
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op veiligheid. Doelgroep: consumentenmarkt. Technologieën: Python.,AR/VR Development
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op integratie met bestaande systemen. Doelgroep: onderwijsinstellingen. Technologieën: Python.,Digital Twin
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: Docker.,Digital Twin
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op integratie met bestaande systemen. Doelgroep: bedrijven. Technologieën: TensorFlow.,Natural Language Processing
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op gebruiksvriendelijkheid. Doelgroep: bedrijven. Technologieën: SQL.,Blockchain
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op gebruiksvriendelijkheid. Doelgroep: overheidsinstanties. Technologieën: Python.,App Development
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op gebruiksvriendelijkheid. Doelgroep: consumentenmarkt. Technologieën: Docker.,AR/VR Development
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op schaalbaarheid. Doelgroep: onderwijsinstellingen. Technologieën: Docker.,Data Science
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op integratie met bestaande systemen. Doelgroep: overheidsinstanties. Technologieën: Docker.,Data Science
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op schaalbaarheid. Doelgroep: onderwijsinstellingen. Technologieën: TensorFlow.,App Development
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op integratie met bestaande systemen. Doelgroep: bedrijven. Technologieën: React.,Digital Twin
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op real-time verwerking. Doelgroep: overheidsinstanties. Technologieën: Docker.,Digital Twin
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: SQL.,Natural Language Processing
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op real-time verwerking. Doelgroep: bedrijven. Technologieën: SQL.,Blockchain
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op integratie met bestaande systemen. Doelgroep: bedrijven. Technologieën: Python.,Computer Vision
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op integratie met bestaande systemen. Doelgroep: bedrijven. Technologieën: Docker.,Natural Language Processing
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op schaalbaarheid. Doelgroep: consumentenmarkt. Technologieën: SQL.,Digital Twin
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op schaalbaarheid. Doelgroep: consumentenmarkt. Technologieën: TensorFlow.,Blockchain
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op veiligheid. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.",Data Science
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op schaalbaarheid. Doelgroep: bedrijven. Technologieën: Docker.,Natural Language Processing
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op gebruiksvriendelijkheid. Doelgroep: overheidsinstanties. Technologieën: SQL.,Event Processing
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op veiligheid. Doelgroep: bedrijven. Technologieën: Kubernetes.,Event Processing
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op veiligheid. Doelgroep: consumentenmarkt. Technologieën: Kubernetes.,Workflow Automation
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op gebruiksvriendelijkheid. Doelgroep: onderwijsinstellingen. Technologieën: Python.,AR/VR Development
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: TensorFlow.,App Development
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op schaalbaarheid. Doelgroep: overheidsinstanties. Technologieën: Kubernetes.,Data Science
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op veiligheid. Doelgroep: bedrijven. Technologieën: SQL.,App Development
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op real-time verwerking. Doelgroep: overheidsinstanties. Technologieën: Python.",Digital Twin
